LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000238,324.0,0.0,4.375,14.457,9928.9,52973.0,1318.0
E01000239,448.0,0.0,5.805,21.568,4811.8,52435.0,2615.0
E01000240,338.0,0.0,2.379,19.599,3916.9,45266.0,1346.0
E01000241,296.0,0.0,2.214,10.706,5263.5,42784.0,844.0
E01000242,241.0,0.0,4.833,19.154,5790.2,46347.0,1632.0
E01000243,459.0,0.0,7.486,14.093,11785.5,52974.0,1573.0
E01000244,526.0,0.0,8.209,15.649,7325.6,52805.0,1393.0
E01000245,713.0,0.0,10.414,24.116,11358.4,44852.0,1348.0
E01000246,156.0,0.0,2.349,10.621,1412.1,28336.0,1149.0
E01000247,241.0,0.0,4.866,10.138,6380.7,35797.0,1306.0
E01000248,434.0,0.0,10.532,7.296,6288.8,55380.0,2095.0
E01000249,139.0,0.0,2.116,5.863,1984.3,21980.0,763.0
E01000250,823.0,1.0,8.553,13.03,4485.9,34186.0,1708.0
E01000251,576.0,0.0,11.95,18.853,10143.5,53370.0,2122.0
E01000252,266.0,0.0,8.409,13.376,7301.0,42669.0,1637.0
E01000253,269.0,0.0,1.167,9.449,597.2,11427.0,562.0
E01000254,191.0,0.0,0.537,7.764,1047.9,20576.0,1004.0
E01000255,280.0,0.0,1.776,18.729,1591.8,26179.0,705.0
E01000256,206.0,0.0,3.63,10.628,3431.2,28966.0,674.0
E01000257,584.0,0.0,7.101,25.001,3073.1,25149.0,947.0
E01000258,526.0,0.0,6.779,9.156,2370.6,27217.0,574.0
E01000259,382.0,0.0,1.747,13.364,2058.3,19686.0,617.0
E01000260,458.0,0.0,2.565,19.85,2653.4,37595.0,1177.0
E01000261,151.0,0.0,2.931,7.628,1476.5,21830.0,721.0
E01000262,338.0,0.0,1.96,11.643,2047.1,17093.0,674.0
E01000263,120.0,0.0,5.374,5.865,3878.4,33529.0,679.0
E01000264,832.0,1.0,10.952,16.482,4813.8,42472.0,1264.0
E01000265,282.0,0.0,5.795,15.103,9117.6,47155.0,1119.0
E01000266,157.0,0.0,4.411,8.023,2235.7,20609.0,466.0
E01000267,212.0,0.0,7.582,12.75,5463.3,29945.0,1189.0
E01000268,735.0,0.0,13.783,15.262,8221.1,52312.0,1697.0
E01000269,172.0,0.0,10.033,10.434,5103.1,43371.0,1512.0
E01000270,162.0,0.0,10.493,11.98,6131.0,35516.0,1036.0
E01000271,256.0,0.0,9.082,6.648,4788.1,27380.0,638.0
E01000272,156.0,0.0,7.155,4.839,3036.6,22794.0,1002.0
