LSOA11CD,imd_score,imd_decile
E01000613,25.258,4
E01000615,19.767,5
E01000616,21.621,4
E01000617,24.108,4
E01000618,21.83,4
E01000619,19.435,5
E01000620,20.903,5
E01000621,25.172,4
E01000622,30.14,3
E01000623,16.12,6
E01000624,18.739,5
E01000625,22.448,4
E01000626,43.498,2
E01000627,39.15,2
E01000628,33.655,2
E01000629,15.786,6
E01000630,28.674,3
E01000631,16.862,6
E01000632,18.641,5
E01000633,24.495,4
E01000634,21.854,4
E01000635,29.677,3
E01000636,18.16,5
E01000637,23.342,4
E01000638,28.948,3
E01000639,22.065,4
E01000640,26.984,3
E01000641,30.752,3
E01000642,27.298,3
E01000643,51.118,1
E01000644,24.997,4
E01033424,23.051,4
E01033455,42.066,2
E01033456,52.88,1
E01033457,20.23,5
E01033463,13.579,7
E01033464,29.746,3
E01033485,33.913,2
E01000645,4.426,10
E01000646,8.685,8
E01000647,6.901,9
E01000648,6.434,9
E01000649,9.063,8
E01000650,11.657,7
E01000651,9.788,8
E01000652,6.271,9
E01000653,9.788,8
E01000654,7.92,9
E01000655,10.106,8
E01000656,6.82,9
E01000657,12.177,7
E01000658,6.924,9
E01000659,7.687,9
E01000661,37.586,2
E01000662,18.168,5
E01000663,17.592,6
E01000664,19.015,5
E01000665,11.279,8
E01000666,5.577,10
E01000667,6.865,9
E01000668,11.493,7
E01000669,8.753,8
E01000670,5.899,10
E01000671,10.594,8
E01000672,7.586,9
E01000673,8.286,9
E01000674,12.232,7
E01000675,10.154,8
E01000676,20.773,5
E01000677,13.342,7
E01000678,8.932,8
E01000679,8.841,8
E01000680,9.169,8
E01000681,2.655,10
E01000682,4.327,10
E01000683,12.312,7
E01000684,3.543,10
E01000685,12.631,7
E01000686,7.29,9
E01000687,6.541,9
E01000688,2.568,10
E01000689,21.75,4
E01000690,7.176,9
E01000691,13.121,7
E01000692,6.716,9
E01000693,11.702,7
E01000694,7.762,9
E01000695,7.554,9
E01000696,7.31,9
E01000697,3.492,10
E01000698,14.009,7
E01000699,20.128,5
E01000700,13.73,7
E01000701,12.788,7
E01000702,10.113,8
E01000703,10.469,8
E01000704,10.323,8
E01000705,16.348,6
E01000706,16.599,6
E01000707,3.318,10
E01000708,7.865,9
E01000709,16.171,6
E01000710,10.333,8
E01000711,11.785,7
E01000712,7.002,9
E01000713,8.117,9
E01000714,9.987,8
E01000715,6.57,9
E01000716,7.53,9
E01000717,8.436,9
E01000718,27.328,3
E01000719,25.428,4
E01000720,43.281,2
E01000721,43.217,2
E01000722,23.575,4
E01000723,13.714,7
E01000724,36.128,2
E01000725,27.914,3
E01000726,16.178,6
E01000727,14.486,6
E01000728,21.443,5
E01000729,40.937,2
E01000730,41.8,2
E01000731,29.743,3
E01000732,14.361,6
E01000733,19.956,5
E01000734,11.971,7
E01000735,30.057,3
E01000736,21.883,4
E01000737,32.209,3
E01000738,20.161,5
E01000739,42.448,2
E01000740,25.699,4
E01000741,24.882,4
E01000742,23.251,4
E01000743,34.812,2
E01000744,41.713,2
E01000745,19.473,5
E01000746,17.48,6
E01000747,20.247,5
E01000748,12.664,7
E01000749,11.329,7
E01000750,30.702,3
E01000751,6.681,9
E01000752,8.395,9
E01000753,6.135,9
E01000754,7.427,9
E01000755,5.078,10
E01000756,4.925,10
E01000757,4.451,10
E01000758,3.339,10
E01000759,7.816,9
E01000760,9.071,8
E01000761,7.262,9
E01000762,6.964,9
E01000763,5.404,10
E01000764,12.203,7
E01000765,7.214,9
E01000766,3.044,10
E01000767,4.764,10
E01000768,8.72,8
E01000769,23.938,4
E01000770,6.02,9
E01000771,5.485,10
E01000772,4.052,10
E01000773,6.474,9
E01000774,9.362,8
E01000775,7.336,9
E01000777,7.717,9
E01000778,13.162,7
E01000779,15.109,6
E01000780,22.669,4
E01000781,37.305,2
E01000782,47.689,1
E01000783,31.443,3
E01000784,10.181,8
E01000785,31.622,3
E01000786,9.502,8
E01000787,22.391,4
E01000788,23.025,4
E01000789,36.636,2
E01000790,13.639,7
E01000791,9.652,8
E01000792,18.856,5
E01000793,4.826,10
E01000794,3.686,10
E01000795,14.293,6
E01000796,30.14,3
E01000797,13.477,7
E01000798,42.145,2
E01000799,19.434,5
E01000800,28.064,3
E01000801,18.196,5
E01000802,19.757,5
E01000803,17.243,6
E01000804,8.331,9
E01000805,21.754,4
E01000806,25.697,4
E01000807,6.047,9
E01000808,7.005,9
E01000809,4.188,10
E01000810,2.339,10
E01000811,5.127,10
E01000812,10.196,8
E01000813,3.255,10
E01000814,4.284,10
E01000815,2.586,10
E01000816,14.081,7
E01000818,13.454,7
E01000819,26.536,4
E01000820,21.127,5
E01000822,13.278,7
E01000823,11.568,7
E01000824,15.415,6
E01000825,17.0,6
E01000826,4.317,10
E01000827,5.195,10
E01000828,10.099,8
E01000829,6.085,9
E01000830,3.748,10
E01000831,8.153,9
E01000832,5.996,9
E01000833,2.759,10
E01000834,4.859,10
E01000835,7.308,9
E01000836,5.562,10
E01000837,10.214,8
E01000838,5.005,10
E01000839,4.317,10
E01000840,10.385,8
E01000841,4.549,10
E01032562,32.456,3
E01032563,8.916,8
E01032568,25.535,4
E01032570,12.512,7
E01000842,8.523,9
E01000843,13.567,7
E01000844,9.797,8
E01000845,11.305,7
E01000846,22.13,4
E01000847,17.13,6
E01000848,6.035,9
E01000849,7.694,9
E01000850,14.252,6
E01000851,14.959,6
E01000852,14.633,6
E01000853,30.826,3
E01000854,15.832,6
E01000855,14.66,6
E01000856,31.404,3
E01000857,14.85,6
E01000858,37.66,2
E01000859,7.224,9
E01000860,17.703,5
E01000861,33.498,2
E01000862,10.864,8
E01000863,34.37,2
E01000864,17.932,5
E01000865,13.236,7
E01000866,22.434,4
E01000867,28.4,3
E01000868,39.291,2
E01000869,22.144,4
E01000870,26.832,3
E01000871,14.237,7
E01000872,24.312,4
E01000873,8.615,9
E01000874,4.907,10
E01000875,21.838,4
E01000876,29.94,3
E01000877,11.158,8
E01000878,5.647,10
E01000879,5.877,10
E01000880,6.105,9
E01000881,13.429,7
E01000882,4.319,10
E01000883,9.536,8
E01000884,5.273,10
E01000885,7.027,9
E01000886,9.126,8
E01000887,13.063,7
E01000888,14.584,6
E01000889,30.868,3
E01000890,40.883,2
E01000891,38.283,2
E01000892,15.799,6
E01000893,5.314,10
E01000894,6.601,9
E01000895,8.367,9
E01000896,5.734,10
E01000897,5.398,10
E01000898,11.81,7
E01000899,5.971,9
E01000900,26.042,4
E01000901,30.351,3
E01000902,36.241,2
E01000903,18.925,5
E01000904,24.584,4
E01000905,38.075,2
E01000906,10.421,8
E01000907,33.796,2
E01000908,27.211,3
E01000909,11.771,7
E01000910,9.73,8
E01000911,16.959,6
E01000912,22.316,4
E01000913,9.279,8
E01000914,13.106,7
E01000915,23.058,4
E01000916,19.491,5
E01000917,34.957,2
E01000918,20.684,5
E01000919,21.741,4
E01000920,15.017,6
E01000921,15.197,6
E01000922,21.717,4
E01000923,19.37,5
E01000924,13.294,7
E01000925,29.369,3
E01000926,17.412,6
E01000927,14.937,6
E01000928,20.295,5
E01000929,25.374,4
E01000930,30.755,3
E01000931,34.552,2
E01000932,20.043,5
E01000933,25.739,4
E01000934,35.446,2
E01000935,32.327,3
E01000936,21.454,5
E01000937,14.324,6
E01000938,33.666,2
E01000939,39.074,2
E01000940,19.688,5
E01000941,38.035,2
E01000942,15.339,6
E01000943,19.812,5
E01000944,22.702,4
E01000945,29.491,3
E01000946,14.777,6
E01000947,24.682,4
E01000948,28.939,3
E01000949,19.618,5
E01000950,39.726,2
E01000951,34.249,2
E01000952,33.388,2
E01000953,37.205,2
E01000954,34.893,2
E01000955,33.231,3
E01000956,33.601,2
E01000957,26.314,4
E01000958,24.531,4
E01000959,39.028,2
E01000960,16.477,6
E01000961,22.612,4
E01000962,6.05,9
E01000963,8.751,8
E01000964,17.855,5
E01000965,17.42,6
E01000966,6.968,9
E01000967,9.325,8
E01000968,14.268,6
E01000969,6.278,9
E01000970,10.284,8
E01000971,7.866,9
E01000972,27.096,3
E01000973,20.581,5
E01000974,25.094,4
E01000975,17.721,5
E01000976,25.791,4
E01000977,28.332,3
E01000978,20.55,5
E01000979,17.568,6
E01000980,26.51,4
E01000981,13.993,7
E01000982,18.644,5
E01000983,13.494,7
E01000984,30.644,3
E01000985,8.729,8
E01000986,13.043,7
E01000987,9.378,8
E01000989,12.449,7
E01000990,40.278,2
E01000991,8.842,8
E01000992,32.164,3
E01000993,12.212,7
E01000994,19.762,5
E01000995,20.555,5
E01000996,19.945,5
E01000997,22.343,4
E01000998,32.577,3
E01000999,22.777,4
E01001000,28.215,3
E01001001,37.455,2
E01001002,22.163,4
E01001003,24.98,4
E01001004,26.942,3
E01001005,23.204,4
E01001006,30.661,3
E01001007,18.879,5
E01001008,30.401,3
E01001009,23.746,4
E01001010,41.778,2
E01001011,30.871,3
E01001012,37.546,2
E01001013,46.101,1
E01001014,30.289,3
E01001015,24.292,4
E01001016,14.363,6
E01001017,8.041,9
E01001018,6.431,9
E01001019,5.448,10
E01001020,8.448,9
E01001021,35.481,2
E01001022,9.338,8
E01001023,23.385,4
E01001024,8.874,8
E01001025,6.227,9
E01001026,12.713,7
E01001027,10.503,8
E01001028,6.172,9
E01001029,14.98,6
E01001030,7.277,9
E01001031,6.872,9
E01001032,3.765,10
E01001033,14.464,6
E01001034,14.826,6
E01001035,18.386,5
E01001036,11.983,7
E01001037,20.404,5
E01001038,18.538,5
E01001039,8.629,8
E01001040,15.153,6
E01001041,21.138,5
E01001042,36.634,2
E01001043,31.45,3
E01001044,10.209,8
E01001045,35.775,2
E01001046,9.773,8
E01001047,22.051,4
E01001048,28.921,3
E01001049,12.324,7
E01001050,22.047,4
E01001051,39.057,2
E01001052,42.12,2
E01001053,32.404,3
E01001054,34.919,2
E01001055,38.85,2
E01001056,37.89,2
E01001057,40.503,2
E01001058,11.624,7
E01001059,15.24,6
E01001060,20.543,5
E01001061,23.65,4
E01001062,9.874,8
E01001063,6.864,9
E01001064,12.837,7
E01001065,15.885,6
E01001066,38.911,2
E01001067,6.996,9
E01001068,17.303,6
E01001069,9.762,8
E01001070,14.452,6
E01001071,12.944,7
E01001072,8.211,9
E01001073,16.333,6
E01001074,18.325,5
E01001075,11.58,7
E01001076,36.214,2
E01001077,18.542,5
E01001078,36.004,2
E01001079,33.984,2
E01001080,49.591,1
E01001081,34.64,2
E01001082,33.023,3
E01001083,13.37,7
E01001084,13.991,7
E01001085,18.622,5
E01001086,16.705,6
E01001087,23.96,4
E01001088,16.133,6
E01001089,28.744,3
E01001090,23.381,4
E01001091,15.404,6
E01001092,19.832,5
E01001093,11.683,7
E01001094,8.462,9
E01001095,16.293,6
E01001096,7.102,9
E01001097,22.424,4
E01001098,7.535,9
E01001099,19.716,5
E01001100,8.833,8
E01001101,5.124,10
E01001102,7.129,9
E01001103,7.187,9
E01001104,5.761,10
E01001105,20.775,5
E01001106,12.55,7
E01001107,7.039,9
E01001108,5.129,10
E01001109,32.11,3
E01001110,43.021,2
E01001111,28.48,3
E01001112,30.378,3
E01001113,28.381,3
E01001114,41.451,2
E01001115,44.37,1
E01001116,28.878,3
E01001117,27.454,3
E01001118,40.478,2
E01001119,8.868,8
E01001120,10.028,8
E01001121,7.244,9
E01001122,9.529,8
E01001123,9.235,8
E01001124,5.837,10
E01001125,12.056,7
E01001126,6.813,9
