LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01001162,342.0,0.0,0.0,0.0,0.0,28.352,3,9.15466,5772.0,36329.0,1317.0
E01001163,347.0,0.0,0.0,0.0,0.0,16.31,6,8.4111,6998.6,25673.0,857.0
E01001164,656.0,0.0,0.0,1.0,1.0,20.492,5,18.0235,10831.1,49643.0,2244.0
E01001165,356.0,0.0,0.0,0.0,0.0,24.16,4,16.8347,10227.0,35713.0,967.0
E01001166,514.0,0.0,0.0,0.0,0.0,32.149,3,21.47,11200.9,77338.0,3884.0
E01001167,782.0,0.0,1.0,1.0,1.0,21.834,4,10.6564,4127.5,34239.0,1718.0
E01001168,426.0,0.0,0.0,0.0,0.0,21.176,5,13.6122,8104.4,42906.0,1471.0
E01001169,345.0,0.0,0.0,0.0,0.0,32.702,3,6.67047,8202.1,38208.0,1236.0
E01001170,548.0,0.0,0.0,0.0,0.0,27.089,3,18.5177,7536.9,40773.0,2007.0
E01001171,300.0,0.0,0.0,0.0,0.0,24.566,4,11.0295,5899.3,29089.0,994.0
E01001172,909.0,0.0,1.0,1.0,1.0,43.062,2,5.20042,3136.5,29582.0,1205.0
E01001173,463.0,0.0,0.0,0.0,0.0,19.768,5,3.92644,2692.1,19522.0,723.0
E01001174,264.0,0.0,0.0,0.0,0.0,22.452,4,3.57748,7387.5,40865.0,1017.0
E01001175,435.0,0.0,0.0,0.0,0.0,30.599,3,12.1109,10811.3,47893.0,1035.0
E01001176,585.0,0.0,0.0,0.0,1.0,22.748,4,7.8819,7320.7,52021.0,1466.0
E01001177,639.0,0.0,0.0,0.0,1.0,31.6,3,5.57449,5601.2,35969.0,623.0
E01001178,1456.0,1.0,1.0,1.0,1.0,58.173,1,11.3036,9002.8,61111.0,2279.0
E01001179,281.0,0.0,0.0,0.0,0.0,20.706,5,6.14915,14532.8,44678.0,1200.0
E01001180,429.0,0.0,0.0,0.0,0.0,27.841,3,8.17941,12958.1,54783.0,1446.0
E01001181,871.0,0.0,1.0,1.0,1.0,42.449,2,11.9405,15000.0,46269.0,1696.0
E01001182,320.0,0.0,0.0,0.0,0.0,21.65,4,5.69905,10438.1,70661.0,1587.0
E01001183,1057.0,0.0,1.0,1.0,1.0,24.133,4,9.61681,13478.9,56732.0,1294.0
E01001184,231.0,0.0,0.0,0.0,0.0,16.909,6,4.81027,6883.9,32404.0,838.0
E01001185,310.0,0.0,0.0,0.0,0.0,19.985,5,14.2253,8463.5,46146.0,1501.0
E01001186,415.0,0.0,0.0,0.0,0.0,29.074,3,10.3514,9344.8,45065.0,1145.0
E01001187,353.0,0.0,0.0,0.0,0.0,20.607,5,5.57256,11936.3,39563.0,797.0
E01001188,448.0,0.0,0.0,0.0,0.0,28.153,3,16.6518,10420.2,49891.0,959.0
E01001189,198.0,0.0,0.0,0.0,0.0,17.717,5,12.9091,10330.8,52353.0,1360.0
E01001190,225.0,0.0,0.0,0.0,0.0,27.441,3,8.52501,6153.8,36563.0,1344.0
E01001191,765.0,0.0,0.0,1.0,1.0,34.93,2,20.2794,13189.1,39330.0,857.0
E01001192,391.0,0.0,0.0,0.0,0.0,27.765,3,13.6709,8535.3,49915.0,1709.0
E01001193,370.0,0.0,0.0,0.0,0.0,34.356,2,5.90949,9546.0,43633.0,1438.0
E01001194,297.0,0.0,0.0,0.0,0.0,18.25,5,9.51461,2977.0,35433.0,1505.0
