LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density,MSOA11CD,RGN11CD
E01001474,227.0,0.0,0.0,0.0,0.0,13.064,7,7.256,4918.4,32745.0,1211.0,E02000286,E12000007
E01001475,164.0,0.0,0.0,0.0,0.0,7.273,9,5.901,5340.6,26724.0,1166.0,E02000289,E12000007
E01001476,431.0,0.0,0.0,0.0,0.0,28.029,3,7.53,8655.5,52645.0,1253.0,E02000294,E12000007
E01001477,405.0,0.0,0.0,0.0,0.0,34.984,2,2.053,2933.8,17367.0,383.0,E02000294,E12000007
E01001478,257.0,0.0,0.0,0.0,0.0,25.908,4,3.894,5218.8,32006.0,774.0,E02000292,E12000007
E01001479,539.0,0.0,0.0,0.0,0.0,33.274,2,6.58,7327.3,38272.0,995.0,E02000299,E12000007
E01001480,327.0,0.0,0.0,0.0,0.0,30.603,3,4.343,8048.7,39869.0,758.0,E02000300,E12000007
E01001481,286.0,0.0,0.0,0.0,0.0,26.529,4,3.896,10447.9,57442.0,857.0,E02000294,E12000007
E01001482,335.0,0.0,0.0,0.0,0.0,38.527,2,4.539,10895.2,38431.0,722.0,E02000299,E12000007
E01001483,560.0,0.0,0.0,0.0,0.0,53.716,1,1.313,2122.7,15457.0,320.0,E02000301,E12000007
E01001484,367.0,0.0,0.0,0.0,0.0,24.503,4,4.789,4292.7,33059.0,469.0,E02000292,E12000007
E01001485,464.0,0.0,0.0,0.0,0.0,37.13,2,20.342,14722.7,52113.0,1395.0,E02000301,E12000007
E01001486,573.0,0.0,0.0,0.0,1.0,41.507,2,5.797,11900.3,67133.0,1748.0,E02000301,E12000007
E01001487,468.0,0.0,0.0,0.0,0.0,35.047,2,11.708,14980.7,39920.0,561.0,E02000299,E12000007
E01001488,409.0,0.0,0.0,0.0,0.0,30.484,3,10.005,15060.9,43421.0,758.0,E02000300,E12000007
E01001489,492.0,0.0,0.0,0.0,0.0,30.915,3,7.011,10594.8,39346.0,789.0,E02000299,E12000007
E01001491,572.0,0.0,0.0,0.0,1.0,32.824,3,17.533,13157.9,50413.0,1234.0,E02000299,E12000007
E01001492,419.0,0.0,0.0,0.0,0.0,32.044,3,8.648,13276.9,37466.0,1217.0,E02000301,E12000007
E01001493,241.0,0.0,0.0,0.0,0.0,29.242,3,3.663,8205.2,32587.0,719.0,E02000302,E12000007
E01001494,257.0,0.0,0.0,0.0,0.0,15.474,6,3.25,9106.0,56800.0,853.0,E02000302,E12000007
