LSOA11CD,ptal_score
E01000987,12.2564
E01000989,2.73496
E01000990,8.96779
E01000991,1.70561
E01000992,7.71603
E01000993,15.1917
E01000994,5.78846
E01000995,5.73622
E01000996,7.88526
E01000997,14.9387
E01000998,15.261
E01000999,9.77532
E01001000,16.508
E01001001,14.5739
E01001002,11.9305
E01001003,10.512
E01001004,6.5655
E01001005,16.5447
E01001006,7.39707
E01001007,8.63286
E01001008,8.70143
E01001009,11.6571
E01001010,8.46356
E01001011,21.9286
E01001012,35.5055
E01001013,39.6243
E01001014,24.7603
E01001015,6.22204
E01001016,3.89668
E01001017,1.37466
E01001018,2.04846
E01001019,3.36328
E01001020,4.67434
E01001021,1.14617
E01001022,1.60887
E01001023,10.4685
E01001024,8.51651
E01001025,6.14325
E01001026,5.27346
E01001027,2.24387
E01001028,2.08379
E01001029,9.23043
E01001030,5.9164
E01001031,4.79156
E01001032,2.77842
E01001033,9.35754
E01001034,8.50363
E01001035,13.8659
E01001036,5.14987
E01001037,20.9699
E01001038,11.1825
E01001039,3.77248
E01001040,12.3905
E01001041,9.03691
E01001042,36.4641
E01001043,53.9885
E01001044,7.24152
E01001045,60.7208
E01001046,20.2095
E01001047,22.8577
E01001048,60.9067
E01001049,4.71877
E01001050,39.7709
E01001051,6.96127
E01001052,5.23147
E01001053,8.99229
E01001054,11.4463
E01001055,7.5247
E01001056,8.14277
E01001057,10.4083
E01001058,4.61493
E01001059,4.41691
E01001060,2.61159
E01001061,3.65065
E01001062,4.77354
E01001063,6.27467
E01001064,3.8942
E01001065,7.73385
E01001066,2.20907
E01001067,2.15772
E01001068,3.55486
E01001069,3.46202
E01001070,1.77365
E01001071,3.236
E01001072,0.191141
E01001073,7.29668
E01001074,8.73726
E01001075,5.34083
E01001076,7.85997
E01001077,11.1982
E01001078,10.7452
E01001079,5.73502
E01001080,8.82638
E01001081,4.15227
E01001082,6.28667
E01001083,8.44081
E01001084,4.72448
E01001085,15.3249
E01001086,6.09406
E01001087,13.2258
E01001088,4.84786
E01001089,12.7121
E01001090,10.9367
E01001091,3.0854
E01001092,5.93937
E01001093,8.85416
E01001094,2.05585
E01001095,10.7356
E01001096,4.41719
E01001097,17.5554
E01001098,3.26602
E01001099,5.5911
E01001100,9.60498
E01001101,1.46314
E01001102,3.41913
E01001103,2.02801
E01001104,1.96121
E01001105,1.46731
E01001106,2.00879
E01001107,2.94006
E01001108,2.22322
E01001109,8.95654
E01001110,28.3125
E01001111,16.9747
E01001112,10.6505
E01001113,15.5807
E01001114,14.3506
E01001115,7.95014
E01001116,13.8783
E01001117,14.6037
E01001118,14.7016
E01001119,2.81466
E01001120,4.18145
E01001121,1.18399
E01001122,3.56812
E01001123,2.10248
E01001124,2.58412
E01001125,6.19633
E01001126,3.31546
E01001127,3.62671
E01001128,3.93676
E01001129,3.70236
E01001130,3.31092
E01001131,1.02423
E01001132,3.00865
E01001133,5.21562
E01001134,4.0949
E01001135,5.39222
E01001136,20.6391
E01001137,7.3365
E01001138,8.5288
E01001139,12.2328
E01001140,5.83809
E01001141,8.06069
E01001142,11.5129
E01001143,10.6516
E01001144,19.0996
E01001145,20.6841
E01001146,4.45021
E01001147,5.38933
E01001148,3.73534
E01001149,3.9559
E01001150,5.4912
E01001151,11.5244
E01001152,14.2179
E01001153,12.7251
E01001154,16.3767
E01001155,18.3158
E01001156,7.79475
E01001157,4.17033
E01001158,6.97896
E01001159,6.86094
E01001160,3.7993
E01001161,4.91127
E01001162,9.15466
E01001163,8.4111
E01001164,18.0235
E01001165,16.8347
E01001166,21.47
E01001167,10.6564
E01001168,13.6122
E01001169,6.67047
E01001170,18.5177
E01001171,11.0295
E01001172,5.20042
E01001173,3.92644
E01001174,3.57748
E01001175,12.1109
E01001176,7.8819
E01001177,5.57449
E01001178,11.3036
E01001179,6.14915
E01001180,8.17941
E01001181,11.9405
E01001182,5.69905
E01001183,9.61681
E01001184,4.81027
E01001185,14.2253
E01001186,10.3514
E01001187,5.57256
E01001188,16.6518
E01001189,12.9091
E01001190,8.52501
E01001191,20.2794
E01001192,13.6709
E01001193,5.90949
E01001194,9.51461
E01001195,8.06875
E01001196,11.8436
E01001197,7.27699
E01001198,6.1072
E01001199,7.80866
E01001200,4.75259
E01001201,5.55384
E01001202,15.4907
E01001203,11.5373
E01001204,9.82003
E01001205,7.12506
E01001206,5.11688
E01001207,11.1594
E01001208,8.15917
E01001209,4.40132
E01001210,9.25472
E01001211,6.77418
E01001212,8.41055
E01001213,12.4024
E01001214,8.05694
E01001215,17.6073
E01001216,10.8794
E01001217,4.49055
E01001218,4.8878
E01001219,5.44864
E01001220,7.48066
E01001221,31.6011
E01001222,19.6876
E01001223,14.3254
E01001224,8.95784
E01001225,32.1159
E01001226,16.6827
E01001227,9.71054
E01001228,24.1783
E01001229,7.69599
E01001230,8.20796
E01001231,13.3763
E01001232,3.38281
E01001233,12.0256
E01001234,16.0027
E01001235,28.2544
E01001236,14.1672
E01001237,4.9571
E01001238,18.5242
E01001239,14.9832
E01001240,21.5877
E01001241,9.75545
E01001242,3.50465
E01001243,13.3793
E01001244,10.7863
E01001245,10.9549
E01001246,12.8549
E01001247,10.3616
E01001248,4.91454
E01001249,18.7442
E01001250,13.1669
E01001251,14.279
E01001252,14.8905
E01001253,5.60893
E01001254,8.62924
E01001255,7.70175
E01001257,7.0454
E01001258,10.0857
E01001259,11.9615
E01001260,13.7473
E01001261,16.0815
E01001262,5.98263
E01001263,3.78341
E01001264,3.27381
E01001265,2.13603
E01001266,9.70967
E01001267,8.61345
E01001268,4.44543
E01001269,8.36389
E01001270,3.36559
E01001271,6.9661
E01001272,14.6829
E01001273,9.99397
E01001274,8.73261
E01001275,18.8954
E01001276,6.17392
E01001277,12.7076
E01001278,17.0625
E01001279,6.53397
E01001280,8.94619
E01001281,5.89419
E01001282,8.6282
E01001283,12.9575
E01001284,7.34406
E01001285,7.67392
E01001286,6.75251
E01001287,5.17745
E01001288,8.26332
E01001289,8.6852
E01001290,5.79316
E01001291,8.70156
E01001292,7.31996
E01001293,5.52276
E01001294,5.55236
E01001295,5.83494
E01001296,6.06176
E01001297,5.43935
E01001298,7.63031
E01001299,9.2001
E01001300,13.2409
E01001301,8.74339
E01001302,11.1281
E01001303,12.4175
E01001304,9.87991
E01001305,7.02562
E01001306,9.20336
E01001307,2.71695
E01001308,4.37092
E01001309,4.05564
E01001310,6.85308
E01001311,6.10874
E01001312,11.9273
E01001313,7.06644
E01001314,4.14117
E01001315,7.7952
E01001316,9.92037
E01001317,6.90337
E01001318,10.7324
E01001319,10.536
E01001320,1.14032
E01001321,7.9491
E01001322,10.0203
E01001323,14.4146
E01001324,6.31855
E01001325,1.6983
E01001326,1.3623
E01001327,6.8946
E01001328,6.96882
E01001329,4.09514
E01001330,6.55277
E01001331,6.28616
E01001332,7.33593
E01001333,11.5261
E01001334,4.94345
E01001335,1.55448
E01001336,3.76878
E01001337,3.47932
E01001338,5.79925
E01001339,2.0779
E01001340,4.40091
E01001341,3.12931
E01001342,4.0642
E01001343,4.17243
E01001344,9.27271
E01001345,4.40317
E01001346,7.01963
E01001347,4.07255
E01001348,10.9236
E01001349,8.29634
E01001350,11.7325
E01001351,19.5928
E01001352,18.863
E01001353,18.2015
E01001354,20.0663
E01001355,14.0272
E01001356,16.5029
E01001357,10.0101
E01001358,13.3212
E01001359,8.32297
E01001360,15.3754
E01001361,15.907
E01001362,11.7676
E01001363,6.80424
E01001364,4.90491
E01001365,1.96248
E01001366,5.22467
E01001367,14.3203
E01001368,6.58663
E01001369,10.4996
E01001370,4.14536
E01001371,6.87915
E01001372,7.11601
E01001373,9.24759
E01001374,7.19784
E01001375,7.88778
E01001376,6.40356
E01001377,13.3374
E01001379,8.07519
E01001380,12.2946
E01001381,9.9014
E01001382,9.00221
E01001383,8.34792
E01001384,11.5707
E01001385,11.0812
E01001386,10.2136
E01001387,16.6774
E01001388,19.7149
E01001389,15.5369
E01001390,22.0523
E01001391,11.9268
E01001392,15.6239
E01001393,15.7885
E01001394,11.4705
E01001395,2.87649
E01001396,11.9094
E01001397,7.4498
E01001398,8.65624
E01001399,7.35201
E01001400,7.77059
E01001401,8.2105
E01001402,6.76976
E01001403,5.44121
E01001404,1.38797
E01001405,8.7394
E01001406,8.22871
E01001407,1.17166
E01001408,9.04163
E01001409,3.28459
E01001410,1.52191
E01001411,5.30008
E01001412,0.567043
E01001413,2.48798
E01001414,3.94336
E01001415,7.82283
E01001416,6.84386
E01001417,0.982582
E01001418,9.09324
E01001419,11.7099
