osm_id,code,fclass,name
"1199596936","2304",pub,Whelans
"1199799372","2252",pitch,
"1199799373","2252",pitch,
"1199799379","2252",pitch,
"1200614373","2252",pitch,
"1200614374","2252",pitch,
"1200614375","2252",pitch,
"1200618919","2205",playground,
"1200635459","2012",community_centre,Pelier Community Hall
"1200676916","2120",doctors,The Penrose Surgery
"1200815548","2205",playground,
"1200898488","2511",convenience,Roundhouse Food and Wine
"1201180413","2401",hotel,Absolute Pleasure Yacht
"1201188803","2252",pitch,
"1201194167","2252",pitch,
"1201194168","2252",pitch,
"1201194171","2252",pitch,
"1201234264","2204",park,
"1201369205","2205",playground,Richard MacVicar Adventure Playground
"1201406482","2725",artwork,Circumsphere
"1201502228","2724",memorial,Stairway to Heaven Memorial
"1201647207","2205",playground,
"1201655984","2205",playground,
"1201659609","2204",park,New River Path West Bank
"1201736693","2205",playground,
"1201742033","2904",fountain,
"1201804811","2421",shelter,
"18608293","2082",school,Plumcroft Primary School
"1201889018","2252",pitch,
"1202003378","2252",pitch,
"1202091971","2082",school,
"1202299499","2252",pitch,
"1202366482","2204",park,Ridgeway Views Woodland Gardens
"1202493000","2421",shelter,
"1202496315","2252",pitch,
"1202736055","2253",swimming_pool,Resident's Gym
"1202835616","2421",shelter,
"1202838647","2421",shelter,
"1203131963","2252",pitch,
"1203164263","2252",pitch,
"1203516698","2083",kindergarten,
"1203543860","2258",track,
"1203543861","2252",pitch,
"1203543862","2252",pitch,
"1203547767","2511",convenience,River & Green
"1203735352","2205",playground,
"1203761502","2252",pitch,
"1203770122","2421",shelter,
"1203772229","2421",shelter,
"1203887424","2252",pitch,
"1203899738","2511",convenience,The Co-operative Food
"1203899740","2518",beverages,Majestic
"1203934121","2701",tourist_info,
"1203938662","2421",shelter,
"1203941385","2421",shelter,
"1203943174","2253",swimming_pool,
"1203944256","2421",shelter,
"1203944452","2252",pitch,
"1203946806","2252",pitch,
"1203951331","2253",swimming_pool,
"1203973599","2205",playground,
"1203977851","2253",swimming_pool,
"1203978777","2252",pitch,
"1204029080","2253",swimming_pool,
"1204104029","2007",library,Petts Wood Library
"1204203020","2082",school,Marjorie McClure School
"1204206939","2421",shelter,
"1204275883","2205",playground,
"1204278686","2724",memorial,Borough Of Stoke Newington War Memorial Hall
"1204414076","2204",park,William Barefoot Gardens
"1204416430","2252",pitch,
"1204727246","2252",pitch,
"1204742562","2253",swimming_pool,
"1204769953","2303",cafe,Rosy Lea Cafe
"1204886742","2253",swimming_pool,
"1204907559","2252",pitch,
"1204993586","2082",school,Cleeve Meadow Secondary School
"1205173882","2421",shelter,
"1205250863","2542",bicycle_shop,Evelyn Wharf Cycles
"1205251669","2204",park,
"1205297818","2543",doityourself,Screwfix
"1205324237","2205",playground,
"1205352846","2901",toilet,
"1205352848","2303",cafe,Barn Kiosk
"1205419675","2084",college,Mary Ward Centre
"1205446715","2301",restaurant,Mandala Restaurant & Bar
"1205468605","2252",pitch,
"1205503018","2547",garden_centre,City Gardener
"1205583335","2252",pitch,
"16293760","2082",school,Hackbridge Primary School - Hackbridge Corner Site
"1205684374","2253",swimming_pool,
"1205894774","2204",park,
"1205920678","2205",playground,Wesley Avenue Playground
"1206126846","2205",playground,
"1206166861","2252",pitch,
"1206168372","2253",swimming_pool,
"1206170326","2253",swimming_pool,
"1206353507","2304",pub,The Coach & Horses
"1206379331","2252",pitch,
"1206379332","2252",pitch,
"1206415268","2206",dog_park,
"1206454331","2204",park,Gascoigne Square
"1206592122","2205",playground,
"1206719747","2252",pitch,
"1206719748","2252",pitch,
"1206794373","2205",playground,Perceval Square Play Area
"1206828060","2902",bench,
"1206893349","2252",pitch,
"1206893679","2205",playground,
"1206922653","2205",playground,Kingsley Playground
"1206922654","2252",pitch,
"1206945201","2564",car_wash,
"1206945203","2511",convenience,M&S Food
"1206985929","2012",community_centre,Spitfire Youth Centre
"1206985941","2252",pitch,
"1207012086","2301",restaurant,Spice Express
"1207230719","2252",pitch,
"1207407651","2252",pitch,
"1207430657","2561",hairdresser,Infinity Hair & Beauty Lounge
"1207430661","2511",convenience,Bistro
"1207430662","2529",beauty_shop,Nail Boutique
"1207430665","2501",supermarket,Maryland Supermarket
"1207430667","2301",restaurant,BBQ Express
"1207430679","2511",convenience,Çinar Mini Market
"1207430687","2511",convenience,Bucharest Magazin Romanesc
"1207430688","2301",restaurant,Kotch!
"1207430691","2301",restaurant,Shapla Peri Peri
"1207430692","2302",fast_food,Shapla Indian Takeaway
"1207463829","2253",swimming_pool,
"1207500892","2252",pitch,
"1207711636","2252",pitch,
"1207740876","2012",community_centre,Byre Community Room
"1207759417","2252",pitch,
"1207759418","2252",pitch,
"1207762857","2253",swimming_pool,
"1208011231","2301",restaurant,Takahashi
"1208013063","2252",pitch,
"1208068443","2421",shelter,
"1208113608","2202",nightclub,Gloves Off
"1208115927","2304",pub,Signature Brew Taproom
"1208119295","2511",convenience,Londis
"1208177496","2501",supermarket,Euromix
"1208183645","2304",pub,The Hollydale Tavern
"1208183669","2421",shelter,
"1208346102","2205",playground,
"1208351557","2252",pitch,
"1208351558","2252",pitch,
"1208352251","2252",pitch,
"1208453344","2082",school,Greatfields School
"1208480794","2304",pub,The Albert
"1208605033","2252",pitch,
"1208605034","2252",pitch,
"1208646549","2205",playground,
"1208647544","2205",playground,
"1208656324","2204",park,The Glade
"1208735071","2205",playground,
"1208735074","2725",artwork,
"1208874467","2252",pitch,
"1208886061","2205",playground,
"1208887512","2205",playground,
"1208887804","2205",playground,
"1208888478","2205",playground,
"1208888876","2205",playground,
"1208889362","2205",playground,
"16346421","2301",restaurant,Toby Carvery - Eden Park
"1209031183","2950",tower,
